,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
576,2592.0,7503.0,821.0,38.0,306.0,11260.0
577,2615.0,6372.0,769.0,32.0,191.0,9978.0
578,2744.0,7556.0,820.0,31.0,317.0,11467.0
579,2530.0,8152.0,880.0,31.0,450.0,12043.0
580,4067.0,10418.0,1113.0,29.0,500.0,16127.0
581,4288.0,10417.0,1051.0,28.0,169.0,15953.0
582,5370.0,10334.0,1013.0,30.0,0.0,16746.0
583,5040.0,10452.0,1058.0,31.0,0.0,16580.0
584,4511.0,9621.0,948.0,29.0,68.0,15178.0
585,3315.0,8790.0,874.0,35.0,0.0,13014.0
586,2627.0,8164.0,864.0,33.0,0.0,11688.0
587,2266.0,7911.0,871.0,34.0,0.0,11082.0
588,2472.0,7693.0,832.0,35.0,0.0,11032.0
589,2271.0,6783.0,743.0,31.0,0.0,9828.0
590,2551.0,8096.0,827.0,31.0,0.0,11505.0
591,2862.0,8745.0,921.0,31.0,0.0,12560.0
592,3295.0,9660.0,962.0,29.0,0.0,13946.0
593,4788.0,10308.0,1011.0,26.0,0.0,16133.0
594,5239.0,11034.0,1033.0,32.0,0.0,17337.0
595,5497.0,10497.0,1024.0,30.0,0.0,17048.0
596,4879.0,9827.0,917.0,32.0,0.0,15656.0
597,4016.0,9265.0,895.0,34.0,0.0,14209.0
598,2698.0,7712.0,835.0,31.0,0.0,11276.0
599,2370.0,7543.0,813.0,34.0,0.0,10760.0
